                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97188,                  4.598,                 1.0525,                0.00154,                0.27624,                0.04258,                0.03366,                0.78853,                 4.3174,                0.95344,             0.00015827,             0.00015827,             0.00015827
                      2,                 1.0465,                 3.6599,                 1.0392,                0.00437,                0.82192,                0.20129,                0.14755,                0.90257,                  3.819,                0.91379,             0.00032326,             0.00032326,             0.00032326
                      3,                 1.0277,                 3.0569,                 1.0031,                0.00698,                0.84976,                0.28783,                0.21781,                0.90602,                 3.4778,                0.91074,              0.0004866,              0.0004866,              0.0004866
                      4,                 1.0534,                 2.8846,                 1.0419,                      1,                0.03544,                 0.3062,                0.23485,                0.87665,                 3.4409,                0.99138,              0.0006483,              0.0006483,              0.0006483
                      5,                 1.0096,                 2.4665,                0.99927,                0.86619,                0.16298,                0.39566,                0.29014,                0.98692,                 3.2909,                 1.0194,             0.00080834,             0.00080834,             0.00080834
                      6,                0.99231,                 2.4466,                 1.0569,                0.56862,                0.25703,                 0.4111,                0.30623,                0.93577,                 2.6729,                0.98389,             0.00081238,             0.00081238,             0.00081238
                      7,                 1.0146,                 2.2877,                 1.0568,                0.63686,                0.46749,                0.52613,                0.37421,                0.94132,                 2.2665,                 1.0056,             0.00081238,             0.00081238,             0.00081238
                      8,                 0.9512,                 2.0361,                 1.0451,                0.64973,                0.51411,                0.59108,                0.43534,                0.88443,                 1.9111,                 0.9986,             0.00080826,             0.00080826,             0.00080826
                      9,                0.93609,                 2.0027,                 1.0225,                0.54097,                0.70563,                0.72909,                0.54114,                 0.9661,                 1.7485,                 1.0306,             0.00080414,             0.00080414,             0.00080414
                     10,                0.88799,                 1.8458,                0.99283,                0.79123,                0.55022,                0.68459,                0.54069,                0.87132,                 1.7707,                0.98717,             0.00080001,             0.00080001,             0.00080001
                     11,                0.93539,                 1.8843,                 1.0153,                0.68457,                0.58829,                0.73254,                0.56084,                0.86257,                 1.4559,                 1.0059,             0.00079589,             0.00079589,             0.00079589
                     12,                0.92291,                 1.7245,                 1.0146,                 0.5694,                0.63662,                 0.7147,                0.57244,                0.84551,                 1.3904,                0.97405,             0.00079177,             0.00079177,             0.00079177
                     13,                0.92439,                 1.6416,                 1.0146,                0.89483,                0.59761,                0.70997,                0.55759,                0.82038,                 1.1866,                 0.9777,             0.00078764,             0.00078764,             0.00078764
                     14,                0.91708,                 1.5589,                 1.0397,                0.69218,                0.71354,                0.71258,                0.57497,                0.82974,                 1.4764,                0.97833,             0.00078352,             0.00078352,             0.00078352
                     15,                0.87139,                 1.4704,                 1.0091,                0.66006,                0.88317,                0.79726,                0.65683,                0.80645,                 1.2004,                  0.965,              0.0007794,              0.0007794,              0.0007794
                     16,                0.88036,                  1.389,                0.99946,                0.63215,                0.81066,                0.79089,                0.63564,                0.82984,                  1.277,                 0.9806,             0.00077527,             0.00077527,             0.00077527
                     17,                0.88488,                 1.3232,                 1.0049,                0.78655,                0.74472,                0.84066,                0.66703,                0.81132,                 1.1254,                0.96171,             0.00077115,             0.00077115,             0.00077115
                     18,                0.90213,                 1.4129,                 1.0414,                0.65369,                0.80924,                0.76591,                0.59734,                0.88401,                  1.125,                0.97709,             0.00076703,             0.00076703,             0.00076703
                     19,                0.85436,                  1.264,                0.97909,                0.73112,                0.84613,                0.87497,                 0.7084,                0.79886,                0.97967,                0.94704,              0.0007629,              0.0007629,              0.0007629
                     20,                0.86547,                 1.2262,                 1.0067,                0.73617,                0.95748,                0.89579,                 0.7334,                0.81025,                0.92376,                0.96327,             0.00075878,             0.00075878,             0.00075878
                     21,                0.81859,                 1.1756,                0.99365,                0.61672,                0.80936,                0.81414,                0.65938,                0.84009,                0.97422,                0.97369,             0.00075466,             0.00075466,             0.00075466
                     22,                0.84009,                 1.1545,                0.97893,                 0.8433,                0.76376,                0.78705,                0.64788,                0.74879,                0.92539,                0.94568,             0.00075053,             0.00075053,             0.00075053
                     23,                0.81039,                 1.0749,                0.95693,                0.81418,                0.82241,                  0.883,                0.71527,                0.79657,                 0.8601,                0.94555,             0.00074641,             0.00074641,             0.00074641
                     24,                0.78074,                  1.048,                 0.9697,                0.82273,                0.85442,                0.91329,                0.73262,                0.80662,                0.84101,                0.95558,             0.00074229,             0.00074229,             0.00074229
                     25,                0.78469,                 1.0744,                0.98342,                0.84357,                0.73251,                0.82856,                0.69067,                0.75516,                0.85781,                0.94736,             0.00073816,             0.00073816,             0.00073816
                     26,                0.81509,                 1.0115,                0.97446,                0.93832,                0.80324,                0.88716,                0.72667,                0.79623,                0.79616,                0.96871,             0.00073404,             0.00073404,             0.00073404
                     27,                0.79094,                0.98531,                0.97656,                0.85848,                0.92767,                0.94923,                0.77987,                0.74383,                0.71781,                0.94301,             0.00072992,             0.00072992,             0.00072992
                     28,                0.79576,                0.97678,                0.96953,                0.79162,                 0.8044,                0.84618,                0.71673,                0.74943,                0.85196,                0.94569,             0.00072579,             0.00072579,             0.00072579
                     29,                0.75232,                0.89366,                0.95292,                0.85647,                0.87944,                0.93813,                0.75757,                0.76622,                0.73632,                0.93507,             0.00072167,             0.00072167,             0.00072167
                     30,                0.80869,                0.98393,                0.98709,                 0.8693,                 0.7973,                0.91421,                0.71787,                0.83392,                 0.7496,                0.97138,             0.00071755,             0.00071755,             0.00071755
                     31,                0.78131,                0.95779,                0.96975,                0.93355,                0.82735,                0.93759,                0.78097,                 0.7765,                0.75727,                0.95203,             0.00071342,             0.00071342,             0.00071342
                     32,                0.74852,                0.91683,                0.94802,                0.85142,                0.89014,                0.97155,                0.78778,                0.76511,                0.72332,                0.95204,              0.0007093,              0.0007093,              0.0007093
                     33,                0.76313,                0.90789,                0.95692,                0.87982,                 0.8801,                0.95307,                0.77041,                0.77581,                0.65423,                0.95017,             0.00070518,             0.00070518,             0.00070518
                     34,                0.80914,                0.89511,                0.98809,                0.80561,                0.95833,                0.94201,                0.77672,                 0.7596,                0.69366,                 0.9377,             0.00070105,             0.00070105,             0.00070105
                     35,                0.77223,                0.84732,                0.94794,                0.88789,                 0.8708,                0.94551,                 0.7657,                0.73288,                0.67178,                0.93537,             0.00069693,             0.00069693,             0.00069693
                     36,                0.77366,                0.84618,                0.97668,                0.90392,                0.95541,                0.98496,                 0.7995,                0.74672,                 0.6828,                0.94028,             0.00069281,             0.00069281,             0.00069281
                     37,                0.77395,                0.81983,                0.95022,                0.85729,                0.93871,                0.95107,                0.76653,                0.79744,                0.64933,                0.95916,             0.00068868,             0.00068868,             0.00068868
                     38,                0.74423,                0.81735,                0.94503,                0.84534,                0.87296,                0.93481,                0.76388,                0.71555,                0.67438,                0.93143,             0.00068456,             0.00068456,             0.00068456
                     39,                0.74137,                0.83728,                0.95263,                0.90287,                0.78595,                0.92464,                0.75892,                0.74456,                0.66468,                0.92847,             0.00068044,             0.00068044,             0.00068044
                     40,                0.73546,                0.77536,                0.92747,                0.88559,                0.80266,                0.93404,                0.79805,                0.67145,                0.66189,                0.91295,             0.00067631,             0.00067631,             0.00067631
                     41,                0.71375,                0.75829,                0.94376,                0.91461,                0.76426,                0.93187,                0.75562,                0.74726,                0.66186,                 0.9527,             0.00067219,             0.00067219,             0.00067219
                     42,                0.76346,                0.77035,                0.93441,                0.80538,                0.92261,                0.91467,                0.74931,                0.74428,                0.68026,                0.94184,             0.00066807,             0.00066807,             0.00066807
                     43,                0.73878,                0.74713,                0.92841,                0.94388,                0.90479,                0.97409,                 0.8054,                0.72952,                0.62796,                0.92376,             0.00066394,             0.00066394,             0.00066394
                     44,                0.72762,                0.72858,                 0.9396,                0.93485,                0.72849,                0.91118,                0.75195,                0.74799,                0.67675,                0.93557,             0.00065982,             0.00065982,             0.00065982
                     45,                0.68074,                0.66954,                0.91756,                0.89426,                0.81557,                0.92321,                0.76106,                0.66686,                0.64237,                0.91465,              0.0006557,              0.0006557,              0.0006557
                     46,                0.73233,                0.71035,                0.92545,                0.75497,                0.86198,                 0.9022,                0.74507,                 0.7433,                0.64273,                 0.9333,             0.00065157,             0.00065157,             0.00065157
                     47,                0.73345,                0.71386,                0.94084,                0.92689,                0.77265,                0.89956,                0.73022,                0.72942,                0.64937,                0.93194,             0.00064745,             0.00064745,             0.00064745
                     48,                0.74087,                0.74843,                0.96486,                0.91878,                0.85551,                0.92991,                0.77686,                0.67478,                0.59302,                0.91762,             0.00064333,             0.00064333,             0.00064333
                     49,                0.67784,                0.63584,                0.91431,                0.91307,                0.82928,                0.92841,                0.77904,                0.71269,                0.61375,                0.92157,              0.0006392,              0.0006392,              0.0006392
                     50,                0.71518,                0.68256,                0.92791,                0.88222,                 0.9817,                0.96926,                0.81394,                0.69879,                0.52726,                 0.9249,             0.00063508,             0.00063508,             0.00063508
                     51,                0.71051,                0.67734,                0.91841,                0.94645,                0.92642,                0.97467,                0.79632,                0.69889,                0.55186,                0.92549,             0.00063096,             0.00063096,             0.00063096
                     52,                0.67947,                0.61034,                 0.9141,                0.96127,                0.89847,                0.97379,                0.78152,                0.71963,                  0.564,                0.91465,             0.00062683,             0.00062683,             0.00062683
                     53,                0.70647,                0.65731,                0.92748,                0.95295,                 0.9428,                0.98289,                0.80949,                0.73964,                0.58037,                0.93082,             0.00062271,             0.00062271,             0.00062271
                     54,                 0.6916,                0.66269,                0.93376,                0.96908,                0.91424,                0.98109,                0.80577,                0.65671,                0.57431,                0.89791,             0.00061859,             0.00061859,             0.00061859
                     55,                0.70931,                0.63512,                0.93797,                0.89212,                0.95677,                0.98214,                0.82382,                0.67804,                0.58995,                0.90873,             0.00061446,             0.00061446,             0.00061446
                     56,                0.69884,                0.63255,                0.93608,                0.93964,                0.86972,                0.94707,                0.80449,                0.65588,                0.54906,                0.89992,             0.00061034,             0.00061034,             0.00061034
                     57,                0.67591,                0.62745,                0.92724,                 0.9674,                0.83781,                0.95663,                0.79645,                 0.7197,                0.54188,                0.92781,             0.00060622,             0.00060622,             0.00060622
                     58,                0.68638,                 0.6234,                 0.9031,                0.95752,                0.95717,                0.99369,                 0.8146,                0.75586,                0.52146,                0.94562,             0.00060209,             0.00060209,             0.00060209
                     59,                0.69152,                0.63432,                0.92924,                0.96501,                0.97782,                0.99008,                0.81414,                 0.7295,                 0.5125,                0.93027,             0.00059797,             0.00059797,             0.00059797
                     60,                0.67585,                0.64253,                0.91471,                0.89499,                0.94066,                 0.9619,                0.79375,                0.71254,                0.54267,                0.92014,             0.00059385,             0.00059385,             0.00059385
                     61,                0.67979,                0.61875,                0.91247,                0.91215,                0.95857,                0.95537,                0.79076,                0.68787,                0.54959,                 0.9197,             0.00058972,             0.00058972,             0.00058972
                     62,                0.70036,                0.63667,                0.93591,                0.92855,                0.95275,                0.97364,                0.79551,                0.73916,                 0.5301,                0.94738,              0.0005856,              0.0005856,              0.0005856
                     63,                0.69833,                0.62359,                0.92765,                0.88677,                  0.965,                0.97336,                0.80843,                0.70485,                0.50629,                0.92689,             0.00058148,             0.00058148,             0.00058148
